Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Red Sea Housing Services Company Jubail,+966 133614490,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Red Sea Housing Services Company Jubail,,https://arablocal.com/business/view/red-sea-housing-services-company-jubail,,,,,
Usaimi factory for Caravan Mobile Homes,+966 507514767,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Usaimi factory for Caravan Mobile Homes,,https://arablocal.com/business/view/usaimi-factory-for-caravan-mobile-homes,,,,,
Khalid M. Al Dagoor Est. for General Contracting,+966 544665658,,,"Al Rawabei Dist., Riyadh, Al Rawabei Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Rawabei Dist.,Riyadh Province,Saudi Arabia,"Khaled Mohammed Al - Dagoor Khalid Al-Daqour Establishment is one of the leading companies in the field of metal constructions in the Kingdom of Saudi Arabia. Al-Dakoor Contracting Company started its operations in 1976 and gained a distinguished reputation in the implementation of contracting at the level of high technology. Such as offices of the site and accommodation camp for construction companies and buildings of schools, hospitals, villas, mosques, ablution, security and laundry cabin,...",,https://arablocal.com/business/view/khalid-m-al-dagoor-est-for-general-contracting,,,,,
Abu Khamis Caravans Factory,+966 112421898,,,"Exit 17, Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Exit 17,Riyadh Province,Saudi Arabia,Abu Khamis Caravans Factory,,https://arablocal.com/business/view/abu-khamis-caravans-factory,,,,,
Aban For Hotel Suites,+966 138931111,,,"King Abdullah Road, Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",King Abdullah Road,Eastern Province,Saudi Arabia,Aban For Hotel Suites,,https://arablocal.com/business/view/aban-for-hotel-suites,,,,,
Aaali Suites Hotel,+966 138966661,,,"Prince Hamoud Street, Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Prince Hamoud Street,Eastern Province,Saudi Arabia,Aaali Suites Hotel,,https://arablocal.com/business/view/aaali-suites-hotel,,,,,
Al Kenana Houses Factory for Protected Houses,+966 118100226,,,"Al Mashael Dist., Riyadh, Al Mashael Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Mashael Dist.,Riyadh Province,Saudi Arabia,Al Kenana Houses Factory for Protected Houses,,https://arablocal.com/business/view/al-kenana-houses-factory-for-protected-houses,,,,,
Salim Hassan Al Shaqra Portables Factory,+966 138178655,,,"Abo Hadryha Road, Dammam, Abo Hadryha Road, Dammam, Eastern Province, Saudi Arabia",Abo Hadryha Road,Eastern Province,Saudi Arabia,Salim Hassan Al Shaqra Portables Factory,,https://arablocal.com/business/view/salim-hassan-al-shaqra-portables-factory,,,,,
Fajer Al Khobar Furnished Suites,+966 138990064,,,"Street 3, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Street 3,Eastern Province,Saudi Arabia,Fajer Al Khobar Furnished Suites,,https://arablocal.com/business/view/fajer-al-khobar-furnished-suites,,,,,
Address Hotel,+966 163241442,,,"Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Buraida,Qassim Province,Saudi Arabia,Address Hotel,,https://arablocal.com/business/view/address-hotel,,,,,
Malfa Flats And Hotel Suites Al Aqrabiyah al Khobar,+966 138892812,,,"Olaya Street, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Olaya Street,Eastern Province,Saudi Arabia,Malfa Flats And Hotel Suites Al Aqrabiyah al Khobar,,https://arablocal.com/business/view/malfa-flats-and-hotel-suites-al-aqrabiyah-al-khobar,,,,,
Business Development Group,+966 505888121,+966 138509506,,"Jubail Street - Opp. to Prince Nayef City, Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail Street - Opp. to Prince Nayef City,Eastern Province,Saudi Arabia,Business Development Group,,https://arablocal.com/business/view/business-development-group,,,,,
Happy Homes Chalets,+966 143574664,,,"Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",Yanbu Al Bahar,Madinah Province,Saudi Arabia,Happy Homes Chalets,,https://arablocal.com/business/view/happy-homes-chalets,,,,,
Aika Hotel Management Est.,+966 541466035,+966 148392205,,"Prince Mohammad Bin Abdulaziz Street, Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Prince Mohammad Bin Abdulaziz Street,Madinah Province,Saudi Arabia,Aika Hotel Management Est.,,https://arablocal.com/business/view/aika-hotel-management-est,,,,,
Abdullah Azzam Al Rewaili Works Factory,+966 114951381,,,"Old Industrial, Riyadh, Old Industrial, Riyadh, Riyadh Province, Saudi Arabia",Old Industrial,Riyadh Province,Saudi Arabia,Abdullah Azzam Al Rewaili Works Factory,,https://arablocal.com/business/view/abdullah-azzam-al-rewaili-works-factory,,,,,
ADWA Hotel Suites,+966 112486427,,,"Al Quds Dist., Riyadh, Al Quds Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Quds Dist.,Riyadh Province,Saudi Arabia,ADWA Hotel Suites,,https://arablocal.com/business/view/adwa-hotel-suites,,,,,
Abdullrahman S.Al Ajmy Transportation,+966 138377720,,,"Badrani Dist., Jubail, Badrani Dist., Jubail, Eastern Province, Saudi Arabia",Badrani Dist.,Eastern Province,Saudi Arabia,Abdullrahman S.Al Ajmy Transportation,,https://arablocal.com/business/view/abdullrahman-s-al-ajmy-transportation,,,,,
Sunpower,+966 138121676,,,"2nd Industrial City, Dammam, 2nd Industrial City, Dammam, Eastern Province, Saudi Arabia",2nd Industrial City,Eastern Province,Saudi Arabia,,,https://arablocal.com/business/view/sunpower,,,,,
Stainless Steel World Fac Co.,+966 502808006,+966 112650277,,"2nd Industrial City, Riyadh, 2nd Industrial City, Riyadh, Riyadh Province, Saudi Arabia",2nd Industrial City,Riyadh Province,Saudi Arabia,Stainless Steel World Fac Co.,,https://arablocal.com/business/view/stainless-steel-world-fac-co,,,,,
Yousef N. Al Shamlany Trading Est.,+966 112433392,,,"3rd Industrial City, Riyadh, 3rd Industrial City, Riyadh, Riyadh Province, Saudi Arabia",3rd Industrial City,Riyadh Province,Saudi Arabia,Yousef N. Al Shamlany Trading Est.,,https://arablocal.com/business/view/yousef-n-al-shamlany-trading-est,,,,,
SAS Hotel Suites,+966 112087788,,,"Ar Rayyan Dist., Riyadh, Ar Rayyan Dist., Riyadh, Riyadh Province, Saudi Arabia",Ar Rayyan Dist.,Riyadh Province,Saudi Arabia,SAS Hotel Suites,,https://arablocal.com/business/view/sas-hotel-suites,,,,,
Al Nukhabah Al Aseelah For Prefab Houses Factory,+966 122807672,,,"Bahrah, Jeddah, Bahrah, Jeddah, Makkah Province, Saudi Arabia",Bahrah,Makkah Province,Saudi Arabia,Al Nukhabah Al Aseelah For Prefab Houses Factory,,https://arablocal.com/business/view/al-nukhabah-al-aseelah-for-prefab-houses-factory,,,,,
Aghadeer Seasons For Hotel Suites,+966 172298344,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Aghadeer Seasons For Hotel Suites,,https://arablocal.com/business/view/aghadeer-seasons-for-hotel-suites,,,,,
Al Mashawiah For Caravans And Ready Houses,+966 500895050,,,"Riyadh City, Riyadh, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,Al Mashawiah For Caravans And Ready Houses,,https://arablocal.com/business/view/al-mashawiah-for-caravans-and-ready-houses,,,,,
Future House for Prefab Houses Co.,+966 504469340,,,"King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Road,Riyadh Province,Saudi Arabia,Future House for Prefab Houses Co.,,https://arablocal.com/business/view/future-house-for-prefab-houses-co,,,,,
Gharafi Lights Houses Co. Ltd. Al Sulay Riyadh,+966 592829526,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Gharafi Lights Houses Co. Ltd. Al Sulay Riyadh,,https://arablocal.com/business/view/gharafi-lights-houses-co-ltd-al-sulay-riyadh,,,,,
Al Qasr Mobile Co. for Caravans,+966 505332257,,,"Makkah Road, Riyadh, Makkah Road, Riyadh, Riyadh Province, Saudi Arabia",Makkah Road,Riyadh Province,Saudi Arabia,Al Qasr Mobile Co. for Caravans,,https://arablocal.com/business/view/al-qasr-mobile-co-for-caravans,,,,,
Ahla Umsiah Hotel Suites,+966 138099801,,,"Al Salam Dist., Dammam, Al Salam Dist., Dammam, Eastern Province, Saudi Arabia",Al Salam Dist.,Eastern Province,Saudi Arabia,Ahla Umsiah Hotel Suites,,https://arablocal.com/business/view/ahla-umsiah-hotel-suites,,,,,
Ideal Choice Hotel suites,+966 138310888,,,"Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Al Shatei Dist.,Eastern Province,Saudi Arabia,Ideal Choice Hotel suites,,https://arablocal.com/business/view/ideal-choice-hotel-suites,,,,,
Arabian Co. For Fabricated Houses And Matel Works Kharj Road Riyadh,+966 505273121,+966 114021400,,"Kharj Road, Riyadh, Kharj Road, Riyadh, Riyadh Province, Saudi Arabia",Kharj Road,Riyadh Province,Saudi Arabia,Arabian Co. For Fabricated Houses And Matel Works Kharj Road Riyadh,,https://arablocal.com/business/view/arabian-co-for-fabricated-houses-and-matel-works-kharj-road-riyadh,,,,,
Al Lotus Hotel Apartments,+966 126520009,,,"Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Al Hamrah Dist,Makkah Province,Saudi Arabia,Al Lotus Hotel Apartments,,https://arablocal.com/business/view/al-lotus-hotel-apartments,,,,,
Refaie Group Rouwais Jeddah,+966 126145151,,,"Arab Business Center, Second Floor Office No 205, King Abdullah Road, Rouwais Dist., Jeddah, Rouwais Dist., Jeddah, Makkah Province, Saudi Arabia",Arab Business Center,Makkah Province,Saudi Arabia,Refaie Group Rouwais Jeddah,,https://arablocal.com/business/view/refaie-group-rouwais-jeddah,,,,,
Al Ansar Hotels Co.,+966 148385080,,,"Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Harra Sharqiya,Madinah Province,Saudi Arabia,Al Ansar Hotels Co.,,https://arablocal.com/business/view/al-ansar-hotels-co,,,,,
Osool Alnaseem,+966 126544794,,,"Abu Dhar Ghaffari Street, Naseem Quarter, Jeddah, Naseem Quarter, Jeddah, Makkah Province, Saudi Arabia",Abu Dhar Ghaffari Street,Makkah Province,Saudi Arabia,Osool Alnaseem,,https://arablocal.com/business/view/osool-alnaseem,,,,,
Ajwaa Hotels Group,+966 143900629,,,"King Khalid Street, Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Khalid Street,Madinah Province,Saudi Arabia,Ajwaa Hotels Group,,https://arablocal.com/business/view/ajwaa-hotels-group,,,,,
Dammam Star Hotel,+966 138223014,,,"King Saud St, Al Noor Dist., Dammam, Al Noor Dist., Dammam, Eastern Province, Saudi Arabia",King Saud St,Eastern Province,Saudi Arabia,Dammam Star Hotel,,https://arablocal.com/business/view/dammam-star-hotel,,,,,
Nofa Hotel Suites,+966 112175025,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Nofa Hotel Suites,,https://arablocal.com/business/view/nofa-hotel-suites,,,,,
Al Qimma Atlas Hotel,+966 125694034,,,"Aziziyah Dist., Jeddah, Aziziyah Dist., Jeddah, Makkah Province, Saudi Arabia",Aziziyah Dist.,Makkah Province,Saudi Arabia,Al Qimma Atlas Hotel,,https://arablocal.com/business/view/al-qimma-atlas-hotel,,,,,
Aknan For Hotel Suites,+966 138945575,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Aknan For Hotel Suites,,https://arablocal.com/business/view/aknan-for-hotel-suites,,,,,
Al Amani House For Hotel Suites,+966 112155588,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Al Amani House For Hotel Suites,,https://arablocal.com/business/view/al-amani-house-for-hotel-suites,,,,,
AlFadli for Construction Co.,+966 504628327,+966 126810386,,"Rabigh, Jeddah, Rabigh, Jeddah, Makkah Province, Saudi Arabia",Rabigh,Makkah Province,Saudi Arabia,Alfadli For Construction Est. Buildings- Villas - Prefab -Swmming Pools,,https://arablocal.com/business/view/alfadli-for-construction-co,,,,,
Bywt Al Atqan Prefab Houses Factory,+966 112148242,,,"East Ring Road, Riyadh, East Ring Road, Riyadh, Riyadh Province, Saudi Arabia",East Ring Road,Riyadh Province,Saudi Arabia,Bywt Al Atqan Prefab Houses Factory,,https://arablocal.com/business/view/bywt-al-atqan-prefab-houses-factory,,,,,
Akaduniya For Hotel Furnished Suites,+966 138469000,,,"King Khaled Steet, Jalawia Dist., Dammam, Jalawia Dist., Dammam, Eastern Province, Saudi Arabia",King Khaled Steet,Eastern Province,Saudi Arabia,Akaduniya For Hotel Furnished Suites,,https://arablocal.com/business/view/akaduniya-for-hotel-furnished-suites,,,,,
United Co. For Caravans And Prefab Houses,+966 114641405,,,"Al Ulaya Street, Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Ulaya Street,Riyadh Province,Saudi Arabia,United Co. For Caravans And Prefab Houses,,https://arablocal.com/business/view/united-co-for-caravans-and-prefab-houses,,,,,
Saham Yanbu Housing Units,+966 143981117,,,"King Abdul Aziz Road, Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",King Abdul Aziz Road,Madinah Province,Saudi Arabia,Saham Yanbu Housing Units,,https://arablocal.com/business/view/saham-yanbu-housing-units,,,,,
Al Janadriyah Co. For Furnished Apartments Riyadh,+966 114625166,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Al Janadriyah Co. For Furnished Apartments Riyadh,,https://arablocal.com/business/view/al-janadriyah-co-for-furnished-apartments-riyadh,,,,,
Salim Hassan Al Shakra Ready Houses Factory,+966 138503228,,,"Abo Hadryha Road, Dammam, Abo Hadryha Road, Dammam, Eastern Province, Saudi Arabia",Abo Hadryha Road,Eastern Province,Saudi Arabia,Salim Hassan Al Shakra Ready Houses Factory,,https://arablocal.com/business/view/salim-hassan-al-shakra-ready-houses-factory,,,,,
Sulaimani Houses prefabricated Factory,+966 530559999,,,"Wadi Merrikh Dist., Jeddah, Wadi Merrikh Dist., Jeddah, Makkah Province, Saudi Arabia",Wadi Merrikh Dist.,Makkah Province,Saudi Arabia,Sulaimani Houses prefabricated Factory,,https://arablocal.com/business/view/sulaimani-houses-prefabricated-factory,,,,,
Durrat Al Faisalia Hotel And Suites,+966 138116305,,,"Omar Bin Al Khattab Street, Faisaliyah Dist., Dammam, Faisaliyah Dist., Dammam, Eastern Province, Saudi Arabia",Omar Bin Al Khattab Street,Eastern Province,Saudi Arabia,Durrat Al Faisalia Hotel And Suites,,https://arablocal.com/business/view/durrat-al-faisalia-hotel-and-suites,,,,,
United Importer,+966 545388430,,,"Road No. 380, Al Munsiyah Dist., Riyadh, Al Munsiyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Road No. 380,Riyadh Province,Saudi Arabia,United Importer,,https://arablocal.com/business/view/united-importer,,,,,
Al Amal Hotel Suites Group,+966 126933690,,,"Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Safa Dist.,Makkah Province,Saudi Arabia,Al Amal Hotel Suites Group,,https://arablocal.com/business/view/al-amal-hotel-suites-group,,,,,
Al Amal Hotel Suites,+966 126500359,,,"Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Sharafiyah Dist.,Makkah Province,Saudi Arabia,Al Amal Hotel Suites,,https://arablocal.com/business/view/al-amal-hotel-suites,,,,,
Samaya Suites Furnished Apartmants,,,,"Exit 10, Al Quds Dist., Riyadh, Al Quds Dist., Riyadh, Riyadh Province, Saudi Arabia",Exit 10,Riyadh Province,Saudi Arabia,Samaya Suites Furnished Apartmants,,https://arablocal.com/business/view/samaya-suites-furnished-apartmants,,,,,
Yagotta Al Madinah,+966 542572007,,,"King Abdullah Road, Al Madinah Al Munawarah, King Abdullah Road, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Abdullah Road,Madinah Province,Saudi Arabia,Yagotta Al Madinah,,https://arablocal.com/business/view/yagotta-al-madinah,,,,,
Ajnihat Al Narjes Hotel Rooms And Suites,+966 173177171,,,"King Abdul Aziz Rd., Jazan, Jazan, Jazan, Jizan Province, Saudi Arabia",King Abdul Aziz Rd.,Jizan Province,Saudi Arabia,Ajnihat Al Narjes Hotel Rooms And Suites,,https://arablocal.com/business/view/ajnihat-al-narjes-hotel-rooms-and-suites,,,,,
Al Bakherah Hotel Furnished Apartments,+966 172246113,,,"Shmsan Dist, Abha, Shmsan Dist, Abha, Asir Province, Saudi Arabia",Shmsan Dist,Asir Province,Saudi Arabia,Al Bakherah Hotel Furnished Apartments,,https://arablocal.com/business/view/al-bakherah-hotel-furnished-apartments,,,,,
Alaidaroos Perfabricated Houses - Head Office,+966 559209292,+966 125335533,,"umm Aljoud Dist., Makkah Al Mukarrmah, umm Aljoud Dist., Mecca, Makkah Province, Saudi Arabia",umm Aljoud Dist.,Makkah Province,Saudi Arabia,Alaidaroos Perfabricated Houses - Head Office,,https://arablocal.com/business/view/alaidaroos-perfabricated-houses-head-office,,,,,
Tilal Al Gharbeya Residential Units,+966 126706868,,,"Al Makarouna Street, Al Makarouna St., Jeddah, Al Makarouna St., Jeddah, Makkah Province, Saudi Arabia",Al Makarouna Street,Makkah Province,Saudi Arabia,Tilal Al Gharbeya Residential Units,,https://arablocal.com/business/view/tilal-al-gharbeya-residential-units,,,,,
Al Khobar Crystal Hotel And Suites,+966 138945000,,,"Ulaya Dist., Al Khobar, Ulaya Dist., Al Khobar, Eastern Province, Saudi Arabia",Ulaya Dist.,Eastern Province,Saudi Arabia,Al Khobar Crystal Hotel And Suites,,https://arablocal.com/business/view/al-khobar-crystal-hotel-and-suites,,,,,
Mlfai Hotel Suites,+966 138447704,,,"King Khalid street, Qazzaz Dist., Dammam, Qazzaz Dist., Dammam, Eastern Province, Saudi Arabia",King Khalid street,Eastern Province,Saudi Arabia,Mlfai Hotel Suites,,https://arablocal.com/business/view/mlfai-hotel-suites,,,,,
Al Adheriyah For Hotel Suites,+966 138972280,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Al Adheriyah For Hotel Suites,,https://arablocal.com/business/view/al-adheriyah-for-hotel-suites,,,,,
Al Owayed Hotel,+966 138095555,,,"Khalij Road, Al Hamra Dist., Dammam, Al Hamra Dist., Dammam, Eastern Province, Saudi Arabia",Khalij Road,Eastern Province,Saudi Arabia,Al Owayed Hotel,,https://arablocal.com/business/view/al-owayed-hotel,,,,,
Sunset Hotel - Jeddah,+966 126605000,,,"Al Rawda St. Intersection Al Madinah Road, Al Rowdah Dist., Jeddah, Al Rowdah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Rawda St. Intersection Al Madinah Road,Makkah Province,Saudi Arabia,Sunset Hotel - Jeddah,,https://arablocal.com/business/view/sunset-hotel-jeddah,,,,,
Amasi Al Fayhaa For Bachelor,+966 549888447,,,"King Faisal Street West, Jubail, King Faisal Street West, Jubail, Eastern Province, Saudi Arabia",King Faisal Street West,Eastern Province,Saudi Arabia,Amasi Al Fayhaa For Bachelor,,https://arablocal.com/business/view/amasi-al-fayhaa-for-bachelor,,,,,
Jawharat Al Danah Furnished Apartments,+966 138897227,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Jawharat Al Danah Furnished Apartments,,https://arablocal.com/business/view/jawharat-al-danah-furnished-apartments,,,,,
Enmaa Ready Houses Factory,+966 114155562,,,"Kharj Road, Riyadh, Kharj Road, Riyadh, Riyadh Province, Saudi Arabia",Kharj Road,Riyadh Province,Saudi Arabia,Enmaa Ready Houses Factory,,https://arablocal.com/business/view/enmaa-ready-houses-factory,,,,,
Flowers Palace,+966 148261558,,,"Qurbaan St., Al Madinah Al Munawarah, Qurbaan, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Qurbaan St.,Madinah Province,Saudi Arabia,Flowers Palace,,https://arablocal.com/business/view/flowers-palace,,,,,
Castle Porta - Cabins Factory,+966 560000773,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Castle Porta - Cabins Factory,,https://arablocal.com/business/view/castle-porta-cabins-factory,,,,,
Platinum Express Hotel Suites,+966 126127676,,,"Sulaimaniyah Dist., Jeddah, Sulaimaniyah Dist., Jeddah, Makkah Province, Saudi Arabia",Sulaimaniyah Dist.,Makkah Province,Saudi Arabia,Platinum Express Hotel Suites,,https://arablocal.com/business/view/platinum-express-hotel-suites,,,,,
Ibrahim Alamaaoa And Partner Prefabricated Houses And Transportation,+966 138155257,,,"Dhahran Jubail Highway, Dhahran, Dammam, Dhahran, Dammam, Eastern Province, Saudi Arabia",Dhahran Jubail Highway,Eastern Province,Saudi Arabia,Ibrahim Alamaaoa And Partner Prefabricated Houses And Transportation,,https://arablocal.com/business/view/ibrahim-alamaaoa-and-partner-prefabricated-houses-and-transportation,,,,,
Western Park,+966 133444435,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Western Park,,https://arablocal.com/business/view/western-park,,,,,
Bin Hizam Est. For Mobile Houses,+966 126620015,,,"Prince Sultan Street, Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Prince Sultan Street,Makkah Province,Saudi Arabia,Bin Hizam Est. For Mobile Houses,,https://arablocal.com/business/view/bin-hizam-est-for-mobile-houses,,,,,
Smart Home,+966 122611121,,,"Tahlyah St., Jeddah, Tahlyah St., Jeddah, Makkah Province, Saudi Arabia",Tahlyah St.,Makkah Province,Saudi Arabia,,,https://arablocal.com/business/view/smart-home,,,,,
Al Howail For Hotel Aparments,+966 138357005,,,"Al Hamra Dist., Dammam, Al Hamra Dist., Dammam, Eastern Province, Saudi Arabia",Al Hamra Dist.,Eastern Province,Saudi Arabia,Al Howail For Hotel Aparments,,https://arablocal.com/business/view/al-howail-for-hotel-aparments,,,,,
